Rank,Industry,Sector,RS,1 M_RS,3M_RS,6M_RS,Ticker
51,Banks - Regional,Financial Services,58,59,66,52,"MFG,USB,PNC,NU,ITUB,LYG,DB,NWG,TFC,BSBR,MTB,FITB,KB,HBAN,FCNCA,CFG,SHG,RF,BAP,KEY,BCH,CIB,EWBC,BSAC,WF,FHN,CMA,WBS,WTFC,WAL,UMBF,GGAL,ONB,ZION,CFR,BPOP,COLB,CADE,BOKF,VLY,BMA,FNB,GBCI,HWC,UBSI,FLG,ABCB,AUB,AX,IFS,TCBI,ASB,EBC,BBAR,UCB,INTR,FIBK,INDB,FULT,CATY,FBP,BKU,FHB,WSBC,MCHB,TBBK,SBCF,BANC,FBK,CUBI,PFS,WAFD,TRMK,LC,BBT,FBNC,CCB,LOB,STEL,BLX,TFIN,TCBK,STBA,QCRH,BFC,BY,CNOB,OBK,PFBC,SUPV,TMP,OSBC,CTBI,AMAL,EQBK,BHRB,FMBH,NBN,SBSI,UVSP,ESQ,NBBK,CFFN,HBNC,BFST,CPF,MBWM,MCB,HBT,HAFC,MOFG,TRST,FSBC,CCNE,HTBK,HTB,CAC,THFF,CCBG,MPB,ORRF,SMBC,FISI,SMBK,SPFI,NRIM,SHBI,ALRS,BCAL,NPB,AROW,TCBX,UNTY,FFWM,ACNB,BWB,FFIC,RRBI,KRNY,MSBI,VBNK,HBCP,BSRR,FBIZ,CARE,SFST,CWBC,BMRC,FRBA,PDLB,USCB,OBT,CBAN,WTBA,ISTR,BWFG,RBB,NEWT,ISBA,PBFS,AVBC,MVBF,FRST,LNKB,WSBF,PCB,PKBK,AVBH,TSBK,MBCN,JMSB,BLFY,WNEB,NWFL,CHMG,MYFW,OVLY,FVCB,FUNC,FBLA,BPRN,FRAF,LCNB,FCCO,FXNC,FSFG,HWBK,NKSH,EFSI,CBNA,ATLO,MRBK,OVBC,PEBK,BVFL,UBFO,CZWI,FCAP,CBFV,CFBK,EBMT,FNWD,MNSB,ECBK,RBKB,SBFG,SRBK,AFBI,LSBK,MGYR,WSBK,AUBN,FNWB,FDSB,BOTJ,SSBI,FUSB,BYFC,CPBI,CLST,NSTS,FSEA,HFBL,EFSCP,CNOBP,MSBIP,SSB,PB,IBOC,TFSL,RNST,CBU,WSFS,BOH,TOWN,BUSE,NIC,FCF,MBIN,CLBK,SRCE,NBHC,GABC,HOPE,PEBO,AMTB,GSBC,IBCP,HIFS,WASH,BHB,CIVB,CZNC,FSBW,BCML,PLBC,NECB,FNLC,COSO,FINW,CFFI,VABK,OPBK,HNVR,LARK,PROV,IROQ,UBCP,TCBS,UMBFO,HOMB,VLYPN,BUSEP,WTFCN,MBNKO,IBN,OZK,CBC,VLYPO,VLYPP,FFBC,EFSC,RBCAA,WABC,PGC,FRMEP,CBK,MNSBP,FITBI,CVBF,NBTB,BANR,FRME,OFG,CHCO,DCOM,FSUN,HFWA,EGBN,PFIS,NFBK,CZFS,BSBK,WSBCO,CASH,FDBC,RMBI,HYNE,ONBPP,ONBPO,HBANL,TCBIO,CCNEP,WAFDP,SFNC,MBINM,FITBP,HDB,PNFP,BWBBP,OZKAP,HBANP,HBANM,MBINL,FULTP,NEWTP,CBSH,SFBS,PRK,MCBS,CBNK,DCOMP,FCNCO,FITBO,FFIN,BANF,SYBT,NWBI,OCFC,FMNB,FCNCP,LKFN,TECTP,MBINN,FCBC,ZIONP,FGBIP,GBFH,COFS,BSVN,GCBC,FMAO,INBK,BCBP,FGBI,UNB,RVSB,SFBC,PBHC,MBBC,BAFN"
52,Drug Manufacturers - Specialty & Generic,Healthcare,58,58,57,56,"ZTS,TAK,HLN,TEVA,UTHR,RGC,VTRS,NBIX,ELAN,RDY,HIMS,ALKS,LNTH,INDV,AMRX,KNSA,PBH,SUPN,BHC,HCM,AVDL,PRGO,HROW,ANIP,DVAX,PAHC,BCRX,COLL,AMLX,AMPH,PCRX,TLRY,AQST,EBS,BIOA,SIGA,KMDA,ETON,EOLS,LFCR,DERM,ANIK,ASRT,FLGC"
53,Internet Retail,Consumer Cyclical,57,47,38,53,"AMZN,BABA,PDD,MELI,DASH,SE,JD,EBAY,CPNG,W,CHWY,CART,VIPS,GLBE,ETSY,RVLV,JMIA,RERE,NEGG,LQDT,TDUP,QVCGA,SBDS,IPW"
54,Insurance - Reinsurance,Financial Services,57,65,67,58,"EG,RGA,RNR,HG,SPNT,GLRE"
55,Scientific & Technical Instruments,Technology,57,58,49,49,"NOVTU,GRMN,KEYS,COHR,TDY,TRMB,FTV,MKSI,CGNX,VNT,ESE,ST,BMI,NOVT,ITRI,ITRN,VPG,MLAB,MIND,ACFN,LGL"
56,Farm & Heavy Construction Machinery,Industrials,56,75,59,42,"CAT,DE,PCAR,CNH,OSK,AGCO,TEX,REVG,ALG,KDK,BLBD,LNN,AEBI,ASTE,HY,CMCO,TWI,MTW,WNC,BNC,GENC"
57,Oil & Gas Integrated,Energy,56,33,54,49,"XOM,CVX,SHEL,TTE,BP,PBR,EQNR,SU,E,IMO,CVE,EC,YPF,NFG,TGS,DEC"
58,Medical Care Facilities,Healthcare,55,58,53,57,"HCA,THC,UHS,FMS,EHC,ENSG,DVA,CHE,PACS,OPCH,LFST,BKD,CON,ADUS,SGRY,NHC,GRDN,MD,SEM,AVAH,ASTH,HCSG,ARDT,NUTX,USPH,ACHC,PNTG,INNV,CMPS,SNDA,AMN,EHAB,SRTA,CCRN,JYNT,PARK"
59,Building Materials,Basic Materials,55,67,58,56,"CRH,VMC,MLM,AMRZ,CX,JHX,EXP,KNF,USLM,TTAM,TGLS,LOMA,CPAC,SMID"
60,REIT - Hotel & Motel,Real Estate,55,75,81,40,"HST,RHP,APLE,PK,DRH,SHO,XHR,PEB,RLJ,CLDT,SOHOO,SOHOB,SOHON"
61,Computer Hardware,Technology,53,43,27,54,"ANET,DELL,WDC,STX,SNDK,PSTG,HPQ,IONQ,SMCI,LOGI,QBTS,RGTI,QUBT,SSYS,CRSR,UMAC,VELO,DPRO,OSS,AMCI,QMCO,ALOT"
62,Credit Services,Financial Services,52,58,55,43,"V,MA,AXP,COF,SOFI,SYF,ALLY,OMF,ATLCP,PYPL,FCFS,SLM,CACC,NNI,UPST,SLMBP,ENVA,BFH,WU,SEZL,QFIN,AGM,JCAP,FINV,EZPW,NAVI,ECPG,ATLC,OPFI,WRLD,GDOT,PRAA,RM,FOA,XYF,MFIN,OPRT,ANTA,CPSS,PMTS,VRM"
63,Home Improvement Retail,Consumer Cyclical,52,82,59,51,"HD,LOW,FND,HVT,LIVE"
64,Railroads,Industrials,52,55,56,37,"UNP,CP,CSX,NSC,CNI,WAB,TRN,GBX,FSTR,RAIL"
65,Specialty Retail,Consumer Cyclical,52,61,45,48,"ULTA,TSCO,WSM,CASY,DKS,BBY,FIVE,GME,MUSA,MNSO,BBWI,RH,ASO,EYE,ARHS,SVV,WINA,SBH,BBW,BWMX,HZO,BNED,ONEW,CHPT,JMG,NPT"
66,Medical Devices,Healthcare,52,63,61,53,"BRKRP,ABT,BSX,SYK,MDT,EW,PHG,DXCM,STE,PODD,ZBH,SNN,GMED,PEN,BIO,BRKR,MASI,GKOS,IRTC,TMDX,HAE,LIVN,ATEC,ITGR,INSP,QDEL,AORT,ESTA,UFPT,PRCT,LMRI,NVCR,ENOV,AXGN,TNDM,AHCO,BBNX,CNMD,IRMD,SSII,IART,INMD,SIBN,CBLL,CTKB,TCMD,OFIX,AVNS,NPCE,VREX,BVS,KIDS,BWAY,CLPT,OWLT,SGHT,RXST,DCTH,CV,SMLR,PROF,TLSI,QTRX,SENS,VMD,SNWV,ELMD,CVRX,MASS,INGN,INFU,LNSR,ECOR,NSYS,INBS,CODX,PAVM,MOVE"
